,Feature1,Feature2,W
293,LKT__s__Collinsella_stercoris,Y,3.458402115110281e-11
294,LKT__o__Burkholderiales,Y,7.179081928542886e-11
295,LKT__s__Agathobaculum_butyriciproducens,Y,1.2078417667568895e-14
296,LKT__s__Candidatus_Borkfalkia,Y,8.765109087350244e-11
297,LKT__s__Rikenellaceae_bacterium,Y,1.894684442183387e-11
298,LKT__g__Bacillus,Y,4.259976326182193e-12
299,LKT__s__Longibaculum_muris,Y,1.8172822160475993e-12
300,LKT__s__Coprobacillus_cateniformis,Y,1.211196080428573e-13
301,LKT__g__Collinsella,Y,5.652974610684331e-11
302,LKT__g__Eubacterium,Y,6.336098398970543e-11
303,LKT__s__Desulfovibrio_Unclassified,Y,8.370295530828988e-12
304,LKT__s__Desulfovibrio_desulfuricans,Y,5.759988543664851e-14
305,LKT__s__Lactococcus_lactis,Y,2.847164693199525e-10
306,LKT__s__Raoultibacter_timonensis,Y,1.268570260082403e-12
307,LKT__d__Eukaryota,Y,9.82703723006542e-14
308,LKT__g__Pseudoflavonifractor,Y,3.3904570662739703e-12
309,LKT__s__Slackia_piriformis,Y,2.2831652062486113e-11
310,LKT__s__Holdemania_filiformis,Y,1.8847116480771554e-13
311,LKT__s__Acidaminococcus_Unclassified,Y,1.4131872691028909e-12
312,LKT__s__Cloacibacillus_evryensis,Y,2.0121656468311345e-11
313,LKT__s__Streptomyces_Unclassified,Y,3.1021260437252415e-17
314,LKT__s__Eisenbergiella_tayi,Y,2.0648443804940864e-12
315,LKT__s__Anaerofustis_stercorihominis,Y,2.1899716792612948e-13
316,LKT__s__Lactobacillus_paragasseri,Y,6.161156357519896e-14
317,LKT__s__Alistipes_timonensis,Y,1.7207877491056075e-10
318,LKT__s__Enterobacter_cloacae,Y,6.688919062230537e-12
319,LKT__s__Flintibacter_Unclassified,Y,8.69654231735992e-12
320,LKT__s__Paraprevotella_xylaniphila,Y,1.7456478300922154e-12
321,LKT__s__Bariatricus_massiliensis,Y,1.182144745728311e-13
322,LKT__s__Faecalimonas_umbilicata,Y,1.000927953495971e-11
323,LKT__s__Agathobaculum_desmolans,Y,2.0068829263626407e-11
324,LKT__g__Megasphaera,Y,7.768884764249794e-12
325,LKT__s__Victivallales_bacterium,Y,9.073491700874442e-15
326,LKT__s__Senegalimassilia_anaerobia,Y,1.2259656398844194e-10
327,LKT__f__Sutterellaceae,Y,6.120502944924061e-10
328,LKT__s__Streptococcus_anginosus,Y,6.019128526523143e-11
329,LKT__s__Candidatus_Stoquefichus,Y,3.373973768109272e-13
330,LKT__s__Raoultibacter_massiliensis,Y,1.2752778129894098e-10
331,LKT__s__Butyricimonas_paravirosa,Y,8.747148067356313e-11
332,LKT__s__Sharpea_azabuensis,Y,4.7381735279010704e-12
333,LKT__s__Lactobacillus_salivarius,Y,7.458985521091462e-15
334,LKT__s__Lachnospira_multipara,Y,6.347110461643128e-12
335,LKT__s__Absiella_dolichum,Y,1.981356905190935e-13
336,LKT__s__Mogibacterium_diversum,Y,7.760706244798257e-14
337,LKT__s__Arabia_massiliensis,Y,2.068553295200115e-12
338,LKT__s__Porphyromonas_uenonis,Y,4.405263838629572e-11
339,LKT__s__Prevotella_koreensis,Y,3.8087507974694494e-11
340,LKT__s__Bacteroides_phage_crAss001,Y,2.7271417881749146e-12
341,LKT__s__Sutterella_parvirubra,Y,1.5525097759248812e-13
342,LKT__s__Mogibacterium_pumilum,Y,3.1538055386027014e-16
343,LKT__g__Mogibacterium,Y,1.020787008724515e-12
344,LKT__s__Streptococcus_viridans,Y,1.3568424237349195e-10
345,LKT__s__Streptococcus_oralis,Y,5.042732258570001e-11
346,LKT__s__Christensenella_minuta,Y,8.087826653198018e-14
347,LKT__s__Actinomyces_bouchesdurhonensis,Y,1.9484829946049264e-12
348,LKT__s__Paenibacillus_Unclassified,Y,5.0262519010817315e-12
349,LKT__s__Clostridium_viride,Y,7.164134245249286e-12
350,LKT__s__Prevotella_oryzae,Y,2.723338725454482e-13
351,LKT__s__Actinomyces_oris,Y,1.2257250538310354e-11
352,LKT__s__Oxalobacter_formigenes,Y,8.396558655831073e-14
353,LKT__g__Methanosphaera,Y,1.2469822925910096e-11
354,LKT__s__Methanosphaera_stadtmanae,Y,6.905922028070302e-11
355,LKT__s__Eubacterium_maltosivorans,Y,1.5013190698600162e-12
356,LKT__s__Lactobacillus_crispatus,Y,1.9535996939369987e-12
357,LKT__s__Enterobacter_hormaechei,Y,1.10244762221015e-10
358,LKT__s__Bacteroides_ilei,Y,1.1426242964185396e-14
359,LKT__s__Enterobacter_roggenkampii,Y,1.700712018889351e-11
360,LKT__s__Ruminococcus_albus,Y,2.03720507564233e-12
361,LKT__s__Cuneatibacter_caecimuris,Y,2.7073321356903158e-12
362,LKT__s__Intestinibacillus_massiliensis,Y,6.50185783311577e-14
363,LKT__s__Enorma_phocaeensis,Y,6.970170226087489e-14
364,LKT__g__Enterobacter,Y,2.3714176337640335e-10
365,LKT__s__Eubacterium_ruminantium,Y,7.253168016388369e-10
366,LKT__s__Eubacterium_pyruvativorans,Y,5.3853172203304524e-11
367,LKT__s__Terrisporobacter_glycolicus,Y,1.3899262995940268e-10
368,LKT__s__Lactobacillus_vaginalis,Y,2.195959976113454e-12
369,LKT__s__Lactobacillus_rhamnosus,Y,1.910130321852727e-12
370,LKT__s__Bacteroides_uniformis,Y,6.334244510070285e-11
371,LKT__s__Faecalibacterium_prausnitzii,Y,2.3688255282562653e-11
372,LKT__s__Ruminococcus_Unclassified,Y,1.0791856750987732e-10
373,LKT__s__Bacteroides_stercoris,Y,4.885922093399353e-11
374,LKT__o__Clostridiales,Y,1.7220162760965706e-11
375,LKT__s__Bacteroides_cellulosilyticus,Y,4.467018260022997e-13
376,LKT__s__Lachnospiraceae_bacterium,Y,6.188055362454184e-13
377,LKT__s__Blautia_Unclassified,Y,1.7901607728601307e-10
378,LKT__s__Escherichia_coli,Y,5.5059646865220585e-11
379,LKT__s__Bacteroides_dorei,Y,2.4315142493672376e-13
380,LKT__s__Alistipes_putredinis,Y,8.369693469994812e-12
381,LKT__s__Prevotella_copri,Y,9.228662829756214e-11
382,LKT__s__Clostridium_Unclassified,Y,1.1420823187749518e-12
383,LKT__f__Lachnospiraceae,Y,1.8997832494606807e-11
384,LKT__s__Bacteroides_caccae,Y,6.634230631442329e-13
385,LKT__s__Clostridiales_bacterium,Y,8.096190956741832e-12
386,LKT__s__Blautia_wexlerae,Y,8.948892916935192e-14
387,LKT__s__Bacteroides_fragilis,Y,7.582819073159094e-11
388,LKT__s__Alistipes_finegoldii,Y,1.6472214951164512e-11
389,LKT__o__Bacteroidales,Y,3.650143083303277e-12
390,LKT__s__Gemmiger_formicilis,Y,2.081960619861297e-11
391,LKT__s__Anaerostipes_hadrus,Y,4.779551328588995e-12
392,LKT__s__Dorea_longicatena,Y,1.076786273085099e-11
393,LKT__s__Bacteroides_eggerthii,Y,9.639436008819746e-13
394,LKT__s__Pseudomonas_aeruginosa,Y,6.600357419425432e-13
395,LKT__s__Alistipes_shahii,Y,4.942859377602388e-12
396,LKT__s__Roseburia_intestinalis,Y,1.9506808218793264e-11
397,LKT__s__Bacteroidaceae_bacterium,Y,1.0096178761235648e-12
398,LKT__s__Klebsiella_pneumoniae,Y,6.795935453956873e-12
399,LKT__s__Ruminococcus_torques,Y,4.854710162526619e-13
400,LKT__s__Bifidobacterium_adolescentis,Y,1.4866096269338633e-11
