"","...1","Feature1","Feature2","W"
"100",346,"LKT__s__Butyricicoccus_Unclassified","LKT__g__Bacteroides",0.0002777757314295
"101",348,"LKT__g__Parabacteroides","LKT__g__Bacteroides",0.000263230571135
"102",358,"LKT__g__Clostridium","LKT__g__Bacteroides",0.0001622181717215
"103",361,"LKT__f__Rikenellaceae","LKT__g__Bacteroides",0.00034066275234491
"104",364,"LKT__s__Hungatella_hathewayi","LKT__g__Bacteroides",0.0001570169144184
"105",375,"LKT__s__Dorea_Unclassified","LKT__g__Bacteroides",0.0003421805510905
"106",377,"LKT__s__Eubacterium_Unclassified","LKT__g__Bacteroides",0.00024348535984669
"107",384,"LKT__s__Dysosmobacter_welbionis","LKT__g__Bacteroides",0.00042035367835363
"108",391,"LKT__s__Enterocloster_asparagiformis","LKT__g__Bacteroides",0.00016101291861539
"109",397,"LKT__s__Enterocloster_aldensis","LKT__g__Bacteroides",0.00010520094743546
"110",401,"LKT__s__Paenibacillus_Unclassified","LKT__g__Bacteroides",0.0001421000012435
"111",402,"LKT__s__Cuneatibacter_caecimuris","LKT__g__Bacteroides",0.00015408388284483
"112",404,"LKT__Unclassified","LKT__s__Faecalibacterium_prausnitzii",0.00040758275246599
"113",405,"LKT__g__Bacteroides","LKT__s__Faecalibacterium_prausnitzii",0.0001449964341907
"114",414,"LKT__s__Ruminococcaceae_bacterium","LKT__s__Faecalibacterium_prausnitzii",0.00031984108883505
"115",424,"LKT__s__Cyclospora_cayetanensis","LKT__s__Faecalibacterium_prausnitzii",0.00017296727680867
"116",426,"LKT__s__Gemmiger_formicilis","LKT__s__Faecalibacterium_prausnitzii",0.0003558963452213
"117",429,"LKT__p__Firmicutes","LKT__s__Faecalibacterium_prausnitzii",0.00010117370113455
"118",434,"LKT__s__Eubacterium_siraeum","LKT__s__Faecalibacterium_prausnitzii",0.00086424774880659
"119",444,"LKT__s__Bacteroides_plebeius","LKT__s__Faecalibacterium_prausnitzii",0.00021482268007365
"120",452,"LKT__g__Blautia","LKT__s__Faecalibacterium_prausnitzii",0.0001048534675847
"121",453,"LKT__s__Subdoligranulum_Unclassified","LKT__s__Faecalibacterium_prausnitzii",0.00016616766847939
"122",459,"LKT__s__Eisenbergiella_massiliensis","LKT__s__Faecalibacterium_prausnitzii",0.00017860281819899
"123",466,"LKT__g__Faecalibacterium","LKT__s__Faecalibacterium_prausnitzii",0.00012275712270719
"124",471,"LKT__s__Clostridium_scindens","LKT__s__Faecalibacterium_prausnitzii",0.00019951915891127
"125",473,"LKT__s__Tyzzerella_nexilis","LKT__s__Faecalibacterium_prausnitzii",0.00014296729885139
"126",480,"LKT__s__Anaerotignum_lactatifermentans","LKT__s__Faecalibacterium_prausnitzii",0.00011304008554576
"127",483,"LKT__s__Coprococcus_eutactus","LKT__s__Faecalibacterium_prausnitzii",0.00018876619188899
"128",488,"LKT__f__Eubacteriaceae","LKT__s__Faecalibacterium_prausnitzii",0.0005007153030184
"129",494,"LKT__g__Butyricicoccus","LKT__s__Faecalibacterium_prausnitzii",0.00026581117211531
"130",495,"LKT__g__Bacillus","LKT__s__Faecalibacterium_prausnitzii",0.00014753184490602
"131",501,"LKT__s__Anaerofustis_stercorihominis","LKT__s__Faecalibacterium_prausnitzii",0.00021778970279269
"132",505,"LKT__Unclassified","LKT__s__Ruminococcus_Unclassified",0.000280677087433
"133",507,"LKT__s__Faecalibacterium_prausnitzii","LKT__s__Ruminococcus_Unclassified",0.0007090676282671
"134",508,"LKT__s__Eubacterium_rectale","LKT__s__Ruminococcus_Unclassified",0.0001285613354392
"135",509,"LKT__s__Bacteroides_stercoris","LKT__s__Ruminococcus_Unclassified",0.000314294165634
"136",522,"LKT__s__Blautia_obeum","LKT__s__Ruminococcus_Unclassified",0.0002573814637688
"137",524,"LKT__s__Blautia_wexlerae","LKT__s__Ruminococcus_Unclassified",0.0001988831876288
"138",526,"LKT__s__Cyclospora_cayetanensis","LKT__s__Ruminococcus_Unclassified",0.0002279463179789
"139",528,"LKT__s__Gemmiger_formicilis","LKT__s__Ruminococcus_Unclassified",0.0005465820331126
"140",529,"LKT__s__Dorea_longicatena","LKT__s__Ruminococcus_Unclassified",0.0003414571656446
"141",536,"LKT__s__Bacteroides_faecis","LKT__s__Ruminococcus_Unclassified",0.0001089255196045
"142",540,"LKT__s__Flavonifractor_plautii","LKT__s__Ruminococcus_Unclassified",0.0001235748766178
"143",543,"LKT__s__Lachnospira_eligens","LKT__s__Ruminococcus_Unclassified",0.00017097583342178
"144",545,"LKT__s__Roseburia_hominis","LKT__s__Ruminococcus_Unclassified",0.0002158769815505
"145",547,"LKT__s__Dorea_formicigenerans","LKT__s__Ruminococcus_Unclassified",0.0002308758001659
"146",552,"LKT__s__Ruthenibacterium_lactatiformans","LKT__s__Ruminococcus_Unclassified",0.00025326689650669
"147",554,"LKT__s__Subdoligranulum_Unclassified","LKT__s__Ruminococcus_Unclassified",0.00010496780380335
"148",558,"LKT__g__Clostridium","LKT__s__Ruminococcus_Unclassified",0.00018734279168569
"149",559,"LKT__s__Blautia_producta","LKT__s__Ruminococcus_Unclassified",0.0002929641465106
"150",560,"LKT__s__Eubacterium_ramulus","LKT__s__Ruminococcus_Unclassified",0.0005936806519721
"151",570,"LKT__s__Clostridium_scindens","LKT__s__Ruminococcus_Unclassified",0.000193606764933
"152",574,"LKT__s__Dorea_Unclassified","LKT__s__Ruminococcus_Unclassified",0.0003211335652246
"153",576,"LKT__s__Eubacterium_Unclassified","LKT__s__Ruminococcus_Unclassified",0.00012007024943969
"154",578,"LKT__s__Pseudoflavonifractor_Unclassified","LKT__s__Ruminococcus_Unclassified",0.00010296846343169
"155",596,"LKT__o__Bacillales","LKT__s__Ruminococcus_Unclassified",0.00010595612626896
"156",598,"LKT__s__Marvinbryantia_formatexigens","LKT__s__Ruminococcus_Unclassified",0.0001375754577438
"157",600,"LKT__Unclassified","LKT__s__Bacteroides_Unclassified",0.0002680356459274
"158",602,"LKT__g__Bacteroides","LKT__s__Bacteroides_Unclassified",0.00011472356254992
"159",603,"LKT__s__Ruminococcus_Unclassified","LKT__s__Bacteroides_Unclassified",0.0002324203547184
"160",604,"LKT__s__Bacteroides_ovatus","LKT__s__Bacteroides_Unclassified",0.0007921742767758
"161",608,"LKT__s__Bacteroides_thetaiotaomicron","LKT__s__Bacteroides_Unclassified",0.00020268358901852
"162",614,"LKT__s__Bacteroides_dorei","LKT__s__Bacteroides_Unclassified",0.0002446842788953
"163",631,"LKT__s__Ruminococcus_flavefaciens","LKT__s__Bacteroides_Unclassified",0.0001287611414448
"164",634,"LKT__s__Bacteroides_faecis","LKT__s__Bacteroides_Unclassified",0.0005487364992778
"165",636,"LKT__s__Parabacteroides_Unclassified","LKT__s__Bacteroides_Unclassified",0.00011060281215662
"166",637,"LKT__s__Roseburia_inulinivorans","LKT__s__Bacteroides_Unclassified",0.00014424972554789
"167",642,"LKT__s__Bacteroides_plebeius","LKT__s__Bacteroides_Unclassified",0.0004411973968952
"168",657,"LKT__f__Enterobacteriaceae","LKT__s__Bacteroides_Unclassified",0.0002317771232393
"169",659,"LKT__s__Enterocloster_bolteae","LKT__s__Bacteroides_Unclassified",0.00018000349535099
"170",665,"LKT__s__Clostridium_scindens","LKT__s__Bacteroides_Unclassified",0.00016672963412472
"171",666,"LKT__f__Erysipelotrichaceae","LKT__s__Bacteroides_Unclassified",0.00010021538153109
"172",670,"LKT__s__Eubacterium_Unclassified","LKT__s__Bacteroides_Unclassified",0.0001193299688277
"173",672,"LKT__s__Pseudoflavonifractor_Unclassified","LKT__s__Bacteroides_Unclassified",0.00026939286409943
"174",680,"LKT__s__Intestinimonas_timonensis","LKT__s__Bacteroides_Unclassified",0.00014957518365752
"175",690,"LKT__s__Lachnoclostridium_phocaeense","LKT__s__Bacteroides_Unclassified",0.00012444817694955
"176",693,"LKT__s__Enterocloster_aldensis","LKT__s__Bacteroides_Unclassified",0.0002253341688056
"177",694,"LKT__s__Anaerofustis_stercorihominis","LKT__s__Bacteroides_Unclassified",0.0001384660024931
"178",695,"LKT__g__Coprococcus","LKT__s__Bacteroides_Unclassified",0.0003353136593477
"179",709,"LKT__s__Bacteroides_stercoris","LKT__s__Bacteroides_ovatus",0.00012663178035355
"180",714,"LKT__s__Blautia_Unclassified","LKT__s__Bacteroides_ovatus",0.0001746336717277
"181",717,"LKT__s__Bacteroides_dorei","LKT__s__Bacteroides_ovatus",0.00022114977325102
"182",718,"LKT__s__Alistipes_putredinis","LKT__s__Bacteroides_ovatus",0.00018217265428657
"183",719,"LKT__s__Clostridium_Unclassified","LKT__s__Bacteroides_ovatus",0.0002418528296508
"184",721,"LKT__s__Bacteroides_xylanisolvens","LKT__s__Bacteroides_ovatus",0.00014620435888635
"185",722,"LKT__s__Bacteroides_intestinalis","LKT__s__Bacteroides_ovatus",0.00033004483138859
"186",729,"LKT__s__Gemmiger_formicilis","LKT__s__Bacteroides_ovatus",0.00021324833981745
"187",734,"LKT__s__Ruminococcus_torques","LKT__s__Bacteroides_ovatus",0.0001317590051793
"188",737,"LKT__s__Bacteroides_faecis","LKT__s__Bacteroides_ovatus",0.00035122397657359
"189",738,"LKT__s__Parabacteroides_Unclassified","LKT__s__Bacteroides_ovatus",0.0001536541506226
"190",739,"LKT__s__Roseburia_inulinivorans","LKT__s__Bacteroides_ovatus",0.0001542296947331
"191",745,"LKT__s__Bacteroides_plebeius","LKT__s__Bacteroides_ovatus",0.0006721420182599
"192",752,"LKT__g__Blautia","LKT__s__Bacteroides_ovatus",0.00026767997304909
"193",753,"LKT__s__Roseburia_Unclassified","LKT__s__Bacteroides_ovatus",0.00020730177667845
"194",757,"LKT__f__Clostridiaceae","LKT__s__Bacteroides_ovatus",0.00027539892517501
"195",763,"LKT__s__Clostridioides_difficile","LKT__s__Bacteroides_ovatus",0.00010208143259881
"196",765,"LKT__s__Clostridium_phoceensis","LKT__s__Bacteroides_ovatus",0.00010808958716241
"197",791,"LKT__s__Enterocloster_aldensis","LKT__s__Bacteroides_ovatus",0.0001734066731237
"198",798,"LKT__s__Faecalibacterium_prausnitzii","LKT__s__Eubacterium_rectale",0.0005479765669439
"199",804,"LKT__s__Blautia_Unclassified","LKT__s__Eubacterium_rectale",0.0008630913449336
"200",812,"LKT__s__Ruminococcus_gnavus","LKT__s__Eubacterium_rectale",0.0001037097912183
"201",816,"LKT__s__Dorea_longicatena","LKT__s__Eubacterium_rectale",0.00011102818429609
"202",817,"LKT__s__Anaerobutyricum_hallii","LKT__s__Eubacterium_rectale",0.00072435145643492
"203",821,"LKT__g__Ruminococcus","LKT__s__Eubacterium_rectale",0.0004691356414811
"204",829,"LKT__f__Ruminococcaceae","LKT__s__Eubacterium_rectale",0.00043259410823427
"205",830,"LKT__s__Coprococcus_comes","LKT__s__Eubacterium_rectale",0.00014266464017064
"206",837,"LKT__s__Clostridium_leptum","LKT__s__Eubacterium_rectale",0.0001426950697968
"207",840,"LKT__s__Ruthenibacterium_lactatiformans","LKT__s__Eubacterium_rectale",0.00014925590362855
"208",841,"LKT__g__Blautia","LKT__s__Eubacterium_rectale",0.00022508547027266
"209",844,"LKT__s__Sellimonas_intestinalis","LKT__s__Eubacterium_rectale",0.00031149413078986
"210",846,"LKT__s__Ruminococcus_lactaris","LKT__s__Eubacterium_rectale",0.0009840272415732
"211",848,"LKT__s__Blautia_producta","LKT__s__Eubacterium_rectale",0.00010482152883401
"212",849,"LKT__s__Eubacterium_ramulus","LKT__s__Eubacterium_rectale",0.00015304475028412
"213",851,"LKT__s__Enterocloster_bolteae","LKT__s__Eubacterium_rectale",0.00011314012079537
"214",865,"LKT__s__Anaerotignum_lactatifermentans","LKT__s__Eubacterium_rectale",0.00018319746887579
"215",887,"LKT__s__Bacteroides_vulgatus","LKT__s__Bacteroides_stercoris",0.00016830344639843
"216",889,"LKT__g__Bacteroides","LKT__s__Bacteroides_stercoris",0.0003016720509849
"217",890,"LKT__s__Ruminococcus_Unclassified","LKT__s__Bacteroides_stercoris",0.00041677348558
"218",902,"LKT__s__Bacteroides_xylanisolvens","LKT__s__Bacteroides_stercoris",0.0007394573471997
"219",904,"LKT__s__Bacteroides_intestinalis","LKT__s__Bacteroides_stercoris",0.00012829409623739
"220",925,"LKT__s__Bacteroides_plebeius","LKT__s__Bacteroides_stercoris",0.0002433062082688
"221",937,"LKT__g__Alistipes","LKT__s__Bacteroides_stercoris",0.00026025771445339
"222",939,"LKT__f__Clostridiaceae","LKT__s__Bacteroides_stercoris",0.0002073202790929
"223",948,"LKT__s__Clostridium_phoceensis","LKT__s__Bacteroides_stercoris",0.00021376071566499
"224",958,"LKT__s__Eubacterium_ventriosum","LKT__s__Bacteroides_stercoris",0.00021028010926577
"225",972,"LKT__g__Butyricicoccus","LKT__s__Bacteroides_stercoris",0.00013397049097189
"226",977,"LKT__s__Agathobaculum_desmolans","LKT__s__Bacteroides_stercoris",0.00013543421556923
"227",980,"LKT__s__Bacteroides_vulgatus","LKT__o__Clostridiales",0.00017268128846899
"228",981,"LKT__Unclassified","LKT__o__Clostridiales",0.000109825319329
"229",982,"LKT__s__Bacteroides_uniformis","LKT__o__Clostridiales",0.00010059572704409
"230",986,"LKT__s__Bacteroides_ovatus","LKT__o__Clostridiales",0.0001099369644055
"231",993,"LKT__s__Blautia_Unclassified","LKT__o__Clostridiales",0.0001038192759482
"232",1005,"LKT__s__Parabacteroides_merdae","LKT__o__Clostridiales",0.0001103756356857
"233",1007,"LKT__s__Ruminococcus_gnavus","LKT__o__Clostridiales",0.0001412541652286
"234",1012,"LKT__s__Anaerobutyricum_hallii","LKT__o__Clostridiales",0.00010634462819239
"235",1013,"LKT__p__Firmicutes","LKT__o__Clostridiales",0.0004703056758231
"236",1015,"LKT__s__Ruminococcus_flavefaciens","LKT__o__Clostridiales",0.00013498668811669
"237",1018,"LKT__s__Clostridiaceae_bacterium","LKT__o__Clostridiales",0.0006028625611014
"238",1019,"LKT__s__Eubacteriaceae_bacterium","LKT__o__Clostridiales",0.000881825174502
"239",1021,"LKT__s__Roseburia_inulinivorans","LKT__o__Clostridiales",0.000438588780498
"240",1024,"LKT__s__Oscillibacter_Unclassified","LKT__o__Clostridiales",0.00054215901819919
"241",1026,"LKT__s__Lachnospira_eligens","LKT__o__Clostridiales",0.00010591240008246
"242",1040,"LKT__f__Clostridiaceae","LKT__o__Clostridiales",0.00014637781708379
"243",1045,"LKT__s__Eubacterium_ramulus","LKT__o__Clostridiales",0.00011082661979579
"244",1048,"LKT__g__Streptococcus","LKT__o__Clostridiales",0.0001894044448126
"245",1054,"LKT__s__Clostridium_innocuum","LKT__o__Clostridiales",0.000153506989978
"246",1057,"LKT__s__Eubacterium_ventriosum","LKT__o__Clostridiales",0.00023808446585
"247",1069,"LKT__s__Frisingicoccus_caecimuris","LKT__o__Clostridiales",0.0001887025045019
"248",1071,"LKT__s__Enterococcus_faecium","LKT__o__Clostridiales",0.0006243846593152
"249",1077,"LKT__d__Eukaryota","LKT__o__Clostridiales",0.00021760772805789
"250",1085,"LKT__s__Paenibacillus_Unclassified","LKT__o__Clostridiales",0.0002524331006838
"251",1087,"LKT__s__Marvinbryantia_formatexigens","LKT__o__Clostridiales",0.00014099096105119
"252",1092,"LKT__s__Ruminococcus_Unclassified","LKT__s__Bacteroides_thetaiotaomicron",0.0003411739281419
"253",1093,"LKT__s__Bacteroides_Unclassified","LKT__s__Bacteroides_thetaiotaomicron",0.0006106152825711
"254",1101,"LKT__s__Bacteroides_dorei","LKT__s__Bacteroides_thetaiotaomicron",0.00057374741930879
"255",1104,"LKT__s__Bacteroides_caccae","LKT__s__Bacteroides_thetaiotaomicron",0.00020370141535686
"256",1113,"LKT__s__Dorea_longicatena","LKT__s__Bacteroides_thetaiotaomicron",0.0004365136759275
"257",1119,"LKT__s__Flavonifractor_plautii","LKT__s__Bacteroides_thetaiotaomicron",0.0002080159804957
"258",1134,"LKT__f__Clostridiaceae","LKT__s__Bacteroides_thetaiotaomicron",0.00019151997848199
"259",1138,"LKT__f__Enterobacteriaceae","LKT__s__Bacteroides_thetaiotaomicron",0.0004370911196508
"260",1147,"LKT__s__Clostridium_innocuum","LKT__s__Bacteroides_thetaiotaomicron",0.00010665850791825
"261",1152,"LKT__s__Pseudoflavonifractor_Unclassified","LKT__s__Bacteroides_thetaiotaomicron",0.00011910629228959
"262",1165,"LKT__s__Butyricicoccus_pullicaecorum","LKT__s__Bacteroides_thetaiotaomicron",0.00025063341765236
"263",1167,"LKT__g__Bacillus","LKT__s__Bacteroides_thetaiotaomicron",0.00019464806773441
"264",1169,"LKT__s__Lachnoclostridium_phocaeense","LKT__s__Bacteroides_thetaiotaomicron",0.00016994795434029
"265",1170,"LKT__s__Bacillus_Unclassified","LKT__s__Bacteroides_thetaiotaomicron",0.0001409698332578
"266",1172,"LKT__s__Enterocloster_aldensis","LKT__s__Bacteroides_thetaiotaomicron",0.00015715392728254
"267",1174,"LKT__g__Veillonella","LKT__s__Bacteroides_thetaiotaomicron",0.0001997037191025
"268",1179,"LKT__s__Bacteroides_uniformis","LKT__s__Bacteroides_cellulosilyticus",0.00041614068377483
"269",1181,"LKT__s__Faecalibacterium_prausnitzii","LKT__s__Bacteroides_cellulosilyticus",0.00014875712795691
"270",1187,"LKT__s__Bacteroides_thetaiotaomicron","LKT__s__Bacteroides_cellulosilyticus",0.0008243781081567
"271",1188,"LKT__s__Parabacteroides_distasonis","LKT__s__Bacteroides_cellulosilyticus",0.00019737047978045
"272",1192,"LKT__s__Bacteroides_dorei","LKT__s__Bacteroides_cellulosilyticus",0.00027190032863037
"273",1197,"LKT__s__Bacteroides_intestinalis","LKT__s__Bacteroides_cellulosilyticus",0.000328856827313
"274",1199,"LKT__s__Alistipes_finegoldii","LKT__s__Bacteroides_cellulosilyticus",0.000121166279578
"275",1212,"LKT__s__Parabacteroides_Unclassified","LKT__s__Bacteroides_cellulosilyticus",0.00034222385511209
"276",1244,"LKT__s__Intestinimonas_massiliensis","LKT__s__Bacteroides_cellulosilyticus",0.00010657059737769
"277",1267,"LKT__s__Ruminococcaceae_bacterium","LKT__s__Lachnospiraceae_bacterium",0.0002798480981121
"278",1268,"LKT__s__Bacteroides_dorei","LKT__s__Lachnospiraceae_bacterium",0.00014293838663501
"279",1270,"LKT__f__Lachnospiraceae","LKT__s__Lachnospiraceae_bacterium",0.0001666910097399
"280",1274,"LKT__s__Blautia_obeum","LKT__s__Lachnospiraceae_bacterium",0.00023959775829469
