Diseases and Bio Functions	genesEnrichedForRABacteria - 2024-06-28 10:35 AM	genesEnrichedForCtrlBacteria - 2024-06-28 10:36 AM
Proliferation of retinoblastoma cell lines	1.6900781917851502	1.6815584123659988
Head and neck carcinoma	3.3591751171614437	0.0
Non rhabdoid tumor	1.588429463283534	1.7337748599716554
Transport of metal	1.3553200886687524	1.942703231897644
Dry cough	1.6491228976379395	1.6406120214214615
Maintenance of epithelial tissue	1.6491228976379395	1.6406120214214615
Bladder carcinoma	0.0	3.2644274163017304
Nonpituitary endocrine tumor	3.2528143367161344	0.0
Pancreatic cancer	1.488510073191134	1.7519740872842269
Shape change of cancer cells	1.6117715918201512	1.6032696129367587
Tumorigenesis of pancreatic cancer cell lines	1.6117715918201512	1.6032696129367587
Drug seeking behavior	1.6117715918201512	1.6032696129367587
Branching of salivary gland	1.6117715918201512	1.6032696129367587
Right colon adenocarcinoma	1.4783271734976569	1.727332809690389
Swelling of cells	1.5877266262846892	1.5717480365974057
Proximal colorectal carcinoma	1.4618472712899417	1.6970483740153708
Right colon tumor	1.458887070668761	1.693762606240432
Gastro-esophageal carcinoma	0.0	3.106493725135266
Pancreatobiliary adenocarcinoma	1.4181982356922298	1.6730904121242856
Neurodegeneration of striatal neurons	1.5456989045453158	1.5372147027305547
Moderate to severe Alzheimer disease	1.5456989045453158	1.5372147027305547
Lack of blastocele	1.516172528397843	1.507697206291957
Organization of melanosomes	1.516172528397843	1.507697206291957
Heterotetramerization of protein	1.516172528397843	1.507697206291957
Drug toxicity	1.518042898291629	1.5021905922097898
Synaptic transmission of CA1 neuron	1.4885805160205934	1.480114067814312
Dermatographic urticaria	1.4885805160205934	1.480114067814312
Distal colorectal carcinoma	0.0	2.9556975846582643
Endometrial cancer	0.0	2.9405328245744795
Rett Syndrome	1.4712444492413155	1.4554836901290575
Quantity of excitatory synapses	1.4626881525689508	1.4542305723514826
Motion sickness	1.4626881525689508	1.4542305723514826
Non-Hodgkin lymphoma	2.8944504993026943	0.0
Distal colon cancer	0.0	2.8931858012012417
Descending colon/sigmoid colon adenocarcinoma	0.0	2.8931858012012417
Endocrine carcinoma	2.884924792145069	0.0
Extrapulmonary squamous cell carcinoma	1.3301745316933105	1.5310764958972343
Oligodendroglioma	0.0	2.826464306856543
NMDA-mediated synaptic current	1.4152562153836716	1.406816353585834
Cramp of muscle	1.4152562153836716	1.406816353585834
Upper respiratory tract infection	1.3934159877934849	1.3849849764372286
Acute musculoskeletal pain	1.3934159877934849	1.3849849764372286
Mild-to-moderate Alzheimer disease	1.3934159877934849	1.3849849764372286
Dynamics of microtubules	1.372662719767402	1.3642405529524948
Chemotherapy-induced peripheral neuropathy	1.372662719767402	1.3642405529524948
Gastric cancer	0.0	2.727692339352373
Multiple mitochondrial dysfunctions syndrome type 1	2.686135559099413	0.0
Hereditary hemochromatosis type 3	2.686135559099413	0.0
Intellectual developmental disorder with neuropsychiatric features	2.686135559099413	0.0
Nephrotic syndrome type 9	2.686135559099413	0.0
Concentration of urine	2.686135559099413	0.0
Susceptibility to microvascular complications of diabetes type 3	2.686135559099413	0.0
Asymptomatic stage left ventricular dysfunction	2.686135559099413	0.0
Intratubular germ cell neoplasm	2.686135559099413	0.0
Maintenance of microglia	2.686135559099413	0.0
Early infantile epileptic encephalopathy type 69	2.686135559099413	0.0
Autosomal recessive beta-mannosidosis	2.686135559099413	0.0
Apoptosis of orthochromic normoblasts	2.686135559099413	0.0
Benign serum increase angiotensin I-converting enzyme	2.686135559099413	0.0
Congenital disorder of glycosylation type 1N	2.686135559099413	0.0
Refractory heart failure	2.686135559099413	0.0
Neurogenic arthrogryposis multiplex congenita with myelin defect	2.686135559099413	0.0
Regulation of cytotoxic T cells	0.0	2.6775353873488177
Growth of Enterococcus faecalis	0.0	2.6775353873488177
Autosomal recessive Joubert syndrome type 30	0.0	2.6775353873488177
Potocki-Shaffer syndrome	0.0	2.6775353873488177
Abnormal morphology of zone of polarizing activity	0.0	2.6775353873488177
Susceptibility to abacavir hypersensitivity	0.0	2.6775353873488177
Progressive proteinuria	0.0	2.6775353873488177
Cell death of choroidal cells	0.0	2.6775353873488177
Parietal foramina 2	0.0	2.6775353873488177
Entry into G1 phase of cervical cancer cell lines	0.0	2.6775353873488177
Susceptibility to spondyloarthropathy 1	0.0	2.6775353873488177
Frontonasal dysplasia type 2	0.0	2.6775353873488177
Autosomal recessive mental retardation type 58	0.0	2.6775353873488177
Selection of natural killer cells	0.0	2.6775353873488177
Early infantile epileptic encephalopathy type 61	0.0	2.6775353873488177
Late G1 phase of colorectal cancer cell lines	0.0	2.6775353873488177
Thyroid gland fetal adenoma	0.0	2.6775353873488177
Sacroiliitis	0.0	2.6775353873488177
Severe focal segmental glomerulosclerosis	0.0	2.6775353873488177
French-Canadian type Leigh syndrome	0.0	2.6775353873488177
Myelination of sensory nerve	0.0	2.6775353873488177
Susceptibility to craniosynostosis 5	0.0	2.6775353873488177
Aggregation of podocytes	0.0	2.6775353873488177
Ovarian adenocarcinoma	0.0	2.677046725239696
Breast or pancreatic cancer	0.0	2.6675979567967154
Gastric carcinoma	0.0	2.66622568703973
Cancer pain	1.334025832361774	1.3256213369987981
Acute rhinosinusitis	1.334025832361774	1.3256213369987981
Gliogenesis	1.334025832361774	1.3256213369987981
Down syndrome	1.3327085223142814	1.3172548816974778
Extraadrenal retroperitoneal tumor	0.0	2.637093363643176
T-cell non-Hodgkin lymphoma	2.62939955688469	0.0
Autosomal dominant early infantile epileptic encephalopathy	2.5775617396294637	0.0
Pancreaticobiliary neoplasm	0.0	2.4803291620485166
Brain oligodendroglioma	0.0	2.465455796864416
Development of genital organ	2.4520933716541684	0.0
Anaplastic oligodendroglioma	0.0	2.4372703419005988
Development of digestive organ tumor	0.0	2.4298134373677938
Autosomal recessive peripheral neuropathy with or without impaired intellectual development	2.385544176954753	0.0
Erectile function	2.385544176954753	0.0
Hydrolysis of 1-oleoyl lysophosphatidylcholine	2.385544176954753	0.0
Mass of smooth muscle tissue	2.385544176954753	0.0
You-Hoover-Fong syndrome	2.385544176954753	0.0
Susceptibility to progression to renal failure in IgA nephropathy	2.385544176954753	0.0
Macroalbuminuric diabetic nephropathy	2.385544176954753	0.0
Abnormal morphology of deep cerebellar nucleus	2.385544176954753	0.0
Frontotemporal dementia and/or amyotrophic lateral sclerosis type 1	2.385544176954753	0.0
Vasoconstriction of umbilical artery	2.385544176954753	0.0
Apoptosis of red blood cells	2.385544176954753	0.0
Grade 1 hypertension	2.385544176954753	0.0
Transcription termination of RNA	2.385544176954753	0.0
Intracellular pH of acinar gland cells	2.385544176954753	0.0
Abnormal morphology of medullary ray	2.385544176954753	0.0
Autosomal recessive mental retardation type 48	0.0	2.376952961119469
Transmembrane transport of L-histidine	0.0	2.376952961119469
Ehlers-Danlos syndrome type VIIC	0.0	2.376952961119469
Fusion of nasal cartilage	0.0	2.376952961119469
Damage of myofilaments	0.0	2.376952961119469
Transport of acylcarnitine	0.0	2.376952961119469
Dephosphorylation of AMP	0.0	2.376952961119469
Upper gastrointestinal carcinoma	0.0	2.3716323162523287
Formation of testis	2.363233232056984	0.0
Lymphoreticular neoplasm	2.3444982381938138	0.0
Serous adenocarcinoma in ovary	0.0	2.323668065537242
Ductal carcinoma	0.0	2.2677122322177037
Adenocarcinoma of the sigmoid colon	0.0	2.236066334813184
Development of Langerhans cells	2.209891395645668	0.0
Homeostasis of Langerhans cells	2.209891395645668	0.0
Response of Ab-secreting B cells	2.209891395645668	0.0
Van der Woude syndrome type 1	2.209891395645668	0.0
Delay in initiation of differentiation of erythroid precursor cells	2.209891395645668	0.0
Thickness of muscle cells	2.209891395645668	0.0
Stage II diastolic hypertension	2.209891395645668	0.0
Morphogenesis of hard palate	2.209891395645668	0.0
Fibrosis of peribronchial tissue	2.209891395645668	0.0
Early myoclonic encephalopathy	2.209891395645668	0.0
Mulibrey nanism	2.209891395645668	0.0
Quantity of proerythroblasts	2.209891395645668	0.0
Closure of autophagosomes	0.0	2.2013091298634038
Abnormal morphology of glomerular layer of olfactory bulb	0.0	2.2013091298634038
Apoptosis of outer hair cells	0.0	2.2013091298634038
Quantity of invadopodia	0.0	2.2013091298634038
Transport of nitrate	0.0	2.2013091298634038
Bare lymphocyte syndrome, type I	0.0	2.2013091298634038
Subacute cutaneous lupus erythematosus	0.0	2.2013091298634038
Mitotic index of squamous cell carcinoma cell lines	0.0	2.2013091298634038
Respiration of liver cell lines	0.0	2.2013091298634038
Reticulophagy	0.0	2.2013091298634038
Breast or ovarian neoplasm	0.0	2.1988196794392176
Upper aerodigestive tract carcinoma	0.0	2.191449625257529
Frontotemporal dementia	2.166159297605785	0.0
Developmental epilepsy	2.144692434468241	0.0
Non-colon gastrointestinal cancer	0.0	2.133371765888486
Transport of cation	0.0	2.089601176334423
Developmental stuttering	2.0853910010194614	0.0
Dilated cardiomyopathy secondary to drug	2.0853910010194614	0.0
Apoptosis of basophils	2.0853910010194614	0.0
Hypoplasia of renal medulla	2.0853910010194614	0.0
Anthracycline-induced cardiotoxicity	2.0853910010194614	0.0
Autosomal recessive renal tubular dysgenesis	2.0853910010194614	0.0
Susceptibility to intracerebral hemorrhage	2.0853910010194614	0.0
Tumorigenesis of superficial fascia	0.0	2.0768176794397757
Metabolism of thiamine	0.0	2.0768176794397757
Phagocytosis of yeast	0.0	2.0768176794397757
Transmembrane transport of L-lysine	0.0	2.0768176794397757
Salvage of L-methionine	0.0	2.0768176794397757
Synthesis of adenosine	0.0	2.0768176794397757
Abnormal morphology of dorsolateral prostatic lobe	0.0	2.0768176794397757
Penetration of axons	0.0	2.0768176794397757
Abnormality of striatum	2.073521461226693	0.0
Cytokinesis of cervical cancer cell lines	0.0	2.0569161955105133
Breast or gastric cancer	0.0	2.056395277391684
Early-onset epilepsy	2.0493146044908968	0.0
Neurodegeneration of cerebral cortex	0.0	2.044530841267819
Breast or ovarian carcinoma	0.0	2.032207943959445
Colon cancer	2.0319852585034237	0.0
Malignant neoplasm of male genital organ	0.0	2.0313705561550557
Skin cancer	0.0	2.0281773963224867
Abnormal morphology of testis	2.0171918912474225	0.0
Spermatogenesis	2.0163867931579276	0.0
Breast or ovarian cancer	0.0	2.0048344577553605
Development of seminiferous tubule	1.9992000529367098	0.0
Antibacterial response	0.0	1.9920847526997925
Size of atrium	1.98891919418851	0.0
Formation of vestibulocochlear nerve	1.98891919418851	0.0
Differentiation of spermatogonia	1.98891919418851	0.0
Quantity of orthochromic normoblasts	1.98891919418851	0.0
Infection by Murine herpesvirus 4	1.98891919418851	0.0
Release of D-glucose	1.98891919418851	0.0
Impaired fasting glucose	1.98891919418851	0.0
Hydrolysis of AMP	0.0	1.980354810922211
Transport of pyruvic acid	0.0	1.980354810922211
Clustering of lipid droplets	0.0	1.980354810922211
Neurodegeneration of CA3 neurons	0.0	1.980354810922211
Size of olfactory bulb	0.0	1.980354810922211
Morphology of Purkinje cells	0.0	1.980354810922211
Exit from mitosis of cervical cancer cell lines	0.0	1.980354810922211
Gonadogenesis	1.9703993183392157	0.0
Syndromic epilepsy	0.0	1.9702707209419337
Lack of breast milk in stomach	0.0	1.951873689025232
Symptomatic stage heart failure	1.9101760185125318	0.0
Colony formation of gonadal cell lines	1.9101760185125318	0.0
HFE-associated hereditary hemochromatosis	1.9101760185125318	0.0
Degradation of protein fragment	1.9101760185125318	0.0
Abnormal morphology of Ammon's horn	1.9101760185125318	0.0
Stable coronary artery disease	1.9101760185125318	0.0
Hypochlorhydria	1.9101760185125318	0.0
Pancreatic tumor	0.0	1.9085620610563536
Transport of L-ornithine	0.0	1.9016205677328726
Quantity of MHC Class I on cell surface	0.0	1.9016205677328726
Damage of nucleus	0.0	1.9016205677328726
Disruption of lipid bilayer	0.0	1.9016205677328726
Partial seizure	0.0	1.8990670709560737
Urothelial bladder carcinoma	0.0	1.8874925993914553
Rhabdomyosarcoma	0.0	1.8670317282183864
Exocytosis of synaptic vesicles	1.856465719937893	0.0
Gastric adenocarcinoma	0.0	1.8513781615912168
Malignant myeloid neoplasm	1.8480626251215153	0.0
Killing of Staphylococcus aureus subsp. aureus	1.8436671634052428	0.0
Accumulation of inflammatory monocytes	1.8436671634052428	0.0
Bioavailability of nitric oxide	1.8436671634052428	0.0
Differentiation of endometrial stromal cells	1.8436671634052428	0.0
Proliferation of neuronal progenitor cells	1.8377433108038175	0.0
Hypoplasia of olfactory bulb	0.0	1.8351206392468646
Killing of Salmonella enterica subsp. enterica serovar Typhimurium	0.0	1.8351206392468646
Function of salivary gland	0.0	1.8351206392468646
Binding of dsRNA	0.0	1.8351206392468646
Immune response of cytotoxic T cells	0.0	1.8351206392468646
Anaphase of cervical cancer cell lines	0.0	1.8351206392468646
Abnormal morphology of olfactory nerve	0.0	1.8351206392468646
Density of mitochondrial cristae	0.0	1.8351206392468646
Abnormal morphology of mitral cell layer	0.0	1.8351206392468646
Development of mandible	0.0	1.8351206392468646
Metaphase of cervical cancer cell lines	0.0	1.8351206392468646
Systemic juvenile idiopathic arthritis	1.8285496362506106	0.0
Social anxiety disorder	0.0	1.8213946985754361
Bone marrow cancer	1.8077146209990786	0.0
Esophageal carcinoma	0.0	1.7974759724342153
Craniosynostosis	0.0	1.794171261369737
Gastroesophageal adenocarcinoma	0.0	1.7916688924621351
End-systolic volume of heart	1.7861130150641653	0.0
Stenosis of mitral valve	1.7861130150641653	0.0
Transport of galactose	1.7861130150641653	0.0
Abnormal morphology of amygdala	1.7861130150641653	0.0
Rectosigmoid neoplasm	0.0	1.783192387053335
Prostate cancer	0.0	1.782748661779528
Abnormal morphology of small parietal bone	0.0	1.777575411711268
Proliferation of cerebellar granule neuron precursor cells	0.0	1.777575411711268
Abnormal morphology of small frontal bone	0.0	1.777575411711268
Proliferation of marginal-zone B lymphocytes	0.0	1.777575411711268
Quantity of HIV	0.0	1.777575411711268
Killing of Enterococcus faecalis	0.0	1.777575411711268
Epilepsy	0.0	1.7644374399175249
Early-onset encephalopathy	0.0	1.7583089623497943
Cancer of cells	0.0	1.754235760331793
Juvenile rheumatoid arthritis	1.7535286490315038	0.0
Hepatoblastoma	1.7422041687899532	0.0
Differentiation of Langerhans cells	1.735398155440801	0.0
Mitochondrial respiration of muscle cells	1.735398155440801	0.0
Spontaneous coronary artery dissection	1.735398155440801	0.0
Secondary hypertension	1.735398155440801	0.0
Abnormal quantity of adipose tissue	1.735398155440801	0.0
Embryonal rhabdomyosarcoma in striated muscle	0.0	1.7349462348849987
Endocochlear potential	0.0	1.7268694669635036
Enlargement of heart cell lines	0.0	1.7268694669635036
HIV encephalopathy	0.0	1.7268694669635036
Acute myeloid leukemia	1.72099942194737	0.0
Fear	1.7180975611530278	0.0
Transport of metal ion	0.0	1.711549608042416
Mature lymphocytic neoplasm	1.7112754792530718	0.0
Neoplasia of blood cells	1.7024566973079092	0.0
Replication of Herpesviridae	1.7024423121690586	0.0
Quantity of erythroid cells	1.6900781917851502	0.0
Abnormal morphology of renal pelvis	1.6900781917851502	0.0
Abnormal morphology of epididymal epithelium	1.6900781917851502	0.0
Replication of vesicular stomatitis virus	1.6871049775681264	0.0
Bile duct carcinoma	0.0	1.6863705682136743
Transport of lactic acid	0.0	1.6815584123659988
Hyperthermia	0.0	1.6815584123659988
Atrophy of renal medulla	0.0	1.6815584123659988
Transport of iodide	0.0	1.6815584123659988
Dandy-Walker syndrome	0.0	1.6815584123659988
Pervasive developmental disorder	0.0	1.657814834104532
Hypotension	1.6500763790526025	0.0
Hemorrhagic stroke	1.6491228976379395	0.0
Hypochromia	1.6491228976379395	0.0
Proliferation of osteoclasts	1.6491228976379395	0.0
Rheumatic carditis	1.6491228976379395	0.0
Surgically induced osteoarthritis	1.6491228976379395	0.0
Apoptosis of PASMC cells	1.6491228976379395	0.0
Prostatic adenocarcinoma	0.0	1.6434938605075264
Ductal adenocarcinoma	0.0	1.64189277369317
Lipophagy	0.0	1.6406120214214615
Arrest in G2/M phase of hepatoma cell lines	0.0	1.6406120214214615
Morphology of podocytes	0.0	1.6406120214214615
Clefting of face	0.0	1.6406120214214615
Disorganization of actin cytoskeleton	0.0	1.6406120214214615
Synthesis of L-proline	0.0	1.6406120214214615
Pancreatic carcinoma	0.0	1.6297287811386718
Quantity of lipid droplets	0.0	1.6268144969965235
Cutaneous sarcoidosis	1.6217183012461316	0.0
Activation of synapse	1.6117715918201512	0.0
Biosynthesis of ubiquinone	1.6117715918201512	0.0
Atrophy of renal cortex	1.6117715918201512	0.0
Vascular resistance of kidney	1.6117715918201512	0.0
Chronic lymphocytic leukemia or small lymphocytic lymphoma or prolymphocytic leukemia	0.0	1.6109966512830518
Killing of Pseudomonas aeruginosa	0.0	1.6032696129367587
Noise-induced hearing loss	0.0	1.6032696129367587
Initiation of reverse transcription of genomes	0.0	1.6032696129367587
Astrocytoma in spinal cord	0.0	1.6032696129367587
Migration of marginal-zone B lymphocytes	0.0	1.6032696129367587
Hydatidiform mole	0.0	1.6032696129367587
Abnormal morphology of split sternum	0.0	1.6032696129367587
Proliferation of progenitor cells	1.5930087224222254	0.0
Proliferation of hematopoietic stem cells	1.5877266262846892	0.0
Chronic inflammatory disorder	1.5789107164236758	0.0
Hyperhomocysteinemia	1.5774466047235642	0.0
Development of trigeminal nerve	1.5774466047235642	0.0
Catabolism of glycoprotein	1.5774466047235642	0.0
Turnover of dopamine	1.5774466047235642	0.0
Laryngeal squamous cell carcinoma	0.0	1.576674270737214
Familial epilepsy	0.0	1.5697802488662111
Daytime core body temperature	0.0	1.568953517278456
Transmembrane transport of L-arginine	0.0	1.568953517278456
Abnormal morphology of Kupffer cells	1.5456989045453158	0.0
Abnormal morphology of thyroid follicle	1.5456989045453158	0.0
Recurrent myocardial infarction	1.5456989045453158	0.0
Assembly of iron-sulfur	1.5456989045453158	0.0
Extravasation of plasma	1.5456989045453158	0.0
Familial dementia	1.5426228917384242	0.0
Acute leukemia	1.5422973666039357	0.0
Soft tissue sarcoma	0.0	1.540361394839634
Upper aero-digestive squamous cell carcinoma	0.0	1.5401118105772358
Rheumatoid arthritis	1.5386540479528947	0.0
Gluconeogenesis of hepatocytes	0.0	1.5372147027305547
Remodeling of extracellular matrix	0.0	1.5372147027305547
Migration of monocyte-derived macrophages	0.0	1.5372147027305547
Catabolism of cartilage tissue	0.0	1.5372147027305547
Anxiety	1.5188711497931289	0.0
Degeneration of cells	0.0	1.5177684796706667
Susceptibility to myocardial infarction	1.516172528397843	0.0
Quantity of Langerhans cells	1.516172528397843	0.0
Damage of tubulointerstitium	1.516172528397843	0.0
Catabolism of hormone	1.516172528397843	0.0
Quantity of burst-forming erythroid cells	1.516172528397843	0.0
Becker muscular dystrophy	1.516172528397843	0.0
Secretion of arachidonic acid	1.516172528397843	0.0
Ohtahara syndrome	0.0	1.508246947007297
Quantity of taurine	0.0	1.507697206291957
Transport of GABA	0.0	1.507697206291957
Ploidy of hepatocytes	0.0	1.507697206291957
Chemoattraction of monocytes	0.0	1.507697206291957
Catabolism of peptide	1.4885805160205934	0.0
Formation of pore	1.4885805160205934	0.0
Pelvic squamous cell carcinoma	0.0	1.4849127000021807
Small-cell carcinoma	1.4837734652519223	0.0
Maturation of erythroid cells	0.0	1.480114067814312
Liver carcinoma	1.4759846509232997	0.0
Liver tumor	1.4710031213093777	0.0
Hypoplasia of brain	0.0	1.4668797106344362
Speech and language disorders	1.4656021630595564	0.0
Abnormal morphology of duodenum	1.4626881525689508	0.0
Migration of kidney cell lines	0.0	1.4611591014167964
Congenital malformation of brain	0.0	1.460855161937851
Colon cancer proximal to the splenic flexure	1.458887070668761	0.0
G1/S phase transition of colorectal cancer cell lines	0.0	1.4542305723514826
Modification of microtubules	0.0	1.4542305723514826
Granuloma	1.454075505270898	0.0
Malignant lymphocytic neoplasm	1.4523328894981042	0.0
Lymphocytic cancer	1.4523328894981042	0.0
Breast or colorectal cancer	0.0	1.4490932676946697
Non-traumatic arthropathy	1.4483726132065153	0.0
Infection of epithelial cell lines	0.0	1.4385074150295782
Hereditary angioedema type III	1.4383010080358214	0.0
